type	source	date	amount	purpose_scrubbed	property_scrubbed	purpose	property	city	state
government	Department of Defense	Feb 26, 2017	84.0	Other	Trump Hotel Las Vegas	Financial Institution	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Feb 26, 2017	393.0	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Feb 26, 2017	396.63	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Feb 26, 2017	393.0	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Feb 26, 2017	1041.96	Lodging	Trump Hotel D.C.	Hotels-Lodging	Trump International Hotel Washington D.C.	Washington	DC
government	Department of Defense	Feb 26, 2017	393.0	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Feb 26, 2017	393.0	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Maine Gov. Paul Lepage	Feb 27, 2017	2250.0	Lodging	Trump Hotel D.C.	Hotels-Lodging 	Trump International Hotel Washington D.C.		
government	Department of State	Feb 27, 2017	13035.85	Other	Trump Hotel Vancouver	N/A	Trump International Hotel & Tower Vancouver	Vancouver	British Columbia
government	Department of Defense	Feb 28, 2017	277.09	Lodging	Trump Hotel D.C.	Hotels-Lodging	Trump International Hotel Washington D.C.	Washington	DC
government	Department of Defense	Mar 1, 2017	284.7	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
